Dataset_pd1_401,,Dataset_ctla_40_1,,Dataset_ab_binding_40_1,
0.0009172854846061125,99.77173170437648,0.0009360643613561498,101.0545352248523,0.001,0.031346702568001206
0.0028250804792315913,100.83912711489772,0.0028016501131406953,88.53112566812683,0.003083248721312296,0.07314230599203597
0.008521475688524363,101.13651890849174,0.008576059527323064,75.23932001768276,0.00950114599743204,0.6277378129646678
0.02685640913345606,100.92271832174578,0.026834051667961815,41.69191817706867,0.028006132857451186,2.2063256038258885
0.07428752447462401,101.21689506892255,0.08038150451352569,28.399308765020294,0.08618223548712174,4.042920869670056
0.234385790006166,99.97749467507937,0.253753856451017,26.647108467628513,0.26513178836524387,6.135916087288493
0.75717214883374,96.94409838042037,0.75927705041996,14.380098862677315,0.7743910667258195,16.17570228670175
2.2493010329226655,91.34348752160109,2.308769737991595,7.241892054816532,2.3017301932143304,30.062291524333872
6.786598112410703,71.38447936342081,7.146231496802014,3.694088333400302,6.5824878401689935,59.588474058594215
19.576059406766564,32.96226339267773,21.60357274917312,1.9402805127998874,19.48389059120679,77.3210625728409
65.25478843507936,0.955672547522397,67.0172423051925,-3.658722822810745,58.95028022490386,94.79805489691758
192.93709966607904,-0.2861391311337087,201.53214692900883,-0.540931559699402,180.60154298083646,100.73704939115058
