,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.104436208145157,0.6933885088800928,4.067354197176628,6.574359239664327,1.0081869625039683
1,$K_D$,-6.40938271890071,0.25801743013675005,-7.015497674794316,-6.0297669918552685,1.0054933729568198
2,$k_2$,-2.1228705729853323,0.8681555308153739,-4.162460470662616,-1.0486802574610221,1.0327964318009448
3,C,0.5386249314050932,0.09338975923236371,0.3312457801633548,0.703227080632719,1.0073463561582028
4,b,3.407065064320129,0.0026410593493976504,3.4018421731517625,3.4121281012712297,1.0051817668979124
