,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.76496624753883,0.07428590131082105,5.633868484258528,5.932307721591863,1.007338436625729
1,$K_D$,-7.588056998384039,0.15718839770015414,-7.88026605197151,-7.246544933029568,1.0049386520782368
2,$k_2$,-3.0557528460799332,0.7149542280203407,-4.058232368690945,-1.2844222788853044,1.0192863016139189
3,C,0.41052304118303073,0.020080462005009996,0.3680968664216834,0.4471906658067834,1.0041603624823547
4,b,3.658350922592744,0.02342603015065526,3.6055965079827534,3.6994737520363574,1.0059845454655063
