,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,4.953495437135554,0.6669441787790078,4.0523986275662365,6.526423538185204,1.0329658920166933
1,$K_D$,-6.401216669358752,0.5356083136507412,-8.02057267678193,-6.008551913228711,1.1218734325083617
2,$k_2$,-2.42922438274169,1.4523992144688478,-6.762333212684922,-1.0487768696365454,1.1352790173757952
3,C,-0.013251499819932516,0.20192993614188362,-0.5455232628680315,0.24820425702395152,1.1009740005388335
4,b,3.406122615890499,0.003224270426637823,3.399355672018346,3.4122770763965278,1.012692194241158
