,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.776006279187991,0.12768455055712646,5.58718129174039,6.060771725806563,1.0101319643411217
1,$K_D$,-7.735426141851576,0.17396651822606546,-8.075766797838094,-7.38218874296281,1.0005538231897628
2,$k_2$,-3.35643214651171,0.9859524839576261,-4.735105532889223,-1.246645930260301,1.0188960089547083
3,C,0.3731675084399977,0.029600621041399815,0.30757936482890463,0.42404655301548355,1.004209036004334
4,b,3.773099022439378,0.039540919775995144,3.6878446507079716,3.83968784316346,1.0166508248968813
