,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.09885047036997,0.4696556798474128,5.257729651243985,6.937362218260457,1.001859526371402
1,$K_D$,-8.340096729139738,0.39578809346671634,-9.23416465471607,-7.674883841829327,1.0116377885287633
2,$k_2$,-4.115464709755548,1.7197773255470277,-7.321089225618038,-1.1803682544792862,1.0125742743354318
3,C,0.24603969644354712,0.09634886789792001,0.04656050474963278,0.4219376810680694,1.0109310093840458
4,b,3.9811619806841634,0.016405925416739204,3.9391542651617857,3.9993066956223586,1.0054926390772017
