,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.379571283098607,0.20592610177393253,6.064606551500762,6.850964105348205,1.3163538747069048
1,$K_D$,-7.717540265411181,1.2372171436248893,-10.023422941489708,-6.821101998940557,10.263104855619387
2,$k_2$,-2.5397846896843808,2.22426780792013,-6.714988179110794,-1.0109600274204988,10.064585253278695
3,C,0.5063387044528813,0.13011796607159745,0.26519145173031083,0.6008357011336265,12.064244945198421
4,b,3.4863220966943342,0.009710677146827173,3.467669109489308,3.505788209749169,1.006625772902222
