,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.877906984780476,0.2109290509061506,5.6205145696701395,6.457551432848087,1.023856564026336
1,$K_D$,-7.941184928615838,0.24427697253617234,-8.445766679213287,-7.466217106631807,1.0137374124161815
2,$k_2$,-3.097054864162625,1.0914953845416921,-4.920637533286829,-1.1448118470576834,1.0290032892729326
3,C,0.39777513483880034,0.04882773556203963,0.26701177645445306,0.4689503141975785,1.0284901551595178
4,b,3.8401609027154153,0.0697287282773043,3.644383823575292,3.934679005866131,1.0298671614138541
