,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.453897942536757,0.38152524794734666,5.5272532700539685,6.9691762603734775,1.016152089455451
1,$K_D$,-7.942447020747654,0.5064932818609801,-8.303938203791734,-6.864329608087241,5.605202992706816
2,$k_2$,-2.530335649672113,1.158165702386178,-5.170672399120839,-1.053095706627025,1.1875821654677117
3,C,0.18520050377934735,0.1945417915461805,0.05063825785234187,0.5436912169630709,14.278306008553557
4,b,3.424504946891776,0.03423726781920215,3.3944409608717385,3.5017402686794163,3.867963215122688
