,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.743546346050113,0.13171047095982993,5.613536168891501,6.021484896933726,3.7744015821115804
1,$K_D$,-8.055563306889914,1.5924518729701878,-11.695084700263312,-6.724608513016261,4.28484038899851
2,$k_2$,-3.361601520161995,2.0538701405388964,-7.167791721808026,-1.4074873311048177,6.028651350734752
3,C,0.44017638270104037,0.12659159006637458,0.20553288823021654,0.5330892389231279,11.236278444095102
4,b,3.4862835693187617,0.005927996801114346,3.474527883100854,3.497813285411859,1.0096983948195848
