,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.433989179391359,0.05340581804121944,5.337835516524954,5.55167057656726,1.0042360402659753
1,$K_D$,-7.505551798105662,0.20643395354113764,-7.912598581344464,-7.074789777373604,1.0039461747843983
2,$k_2$,-2.740004610115409,0.9376594673268209,-4.432043568789056,-1.102224135769584,1.0059505369054327
3,C,0.36244854556882417,0.02075559909880221,0.32029474985604145,0.40081202837677216,1.0032800866677423
4,b,3.801707951760106,0.026095792766277957,3.7445220364989247,3.846692695025928,1.0062583493901913
