,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.490509960086578,0.30392546051886804,5.893419068329919,6.978242308409697,1.002226039400121
1,$K_D$,-8.296757866300817,0.06811066345979577,-8.418628370683225,-8.149379312656292,1.0130043871670087
2,$k_2$,-4.12361362307867,0.8461965697466616,-5.430502948734064,-1.9591773482152424,1.020411939842682
3,C,0.13850415411656766,0.03332332408127051,0.08178017464375487,0.2132683078904121,1.0086080609925874
4,b,3.5888476878653055,0.023398834978101826,3.5461349910954985,3.636745522847548,1.009251524192076
