,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.131386914945679,0.18553763493906936,5.8648815475371565,6.596054875791516,1.0121806757505794
1,$K_D$,-6.854019093533486,0.18440748528421388,-7.27835639317369,-6.568518398541126,1.002896291273323
2,$k_2$,-1.502920550761809,0.3526267161451137,-2.344256462300158,-1.0273754457891944,1.0074801373887063
3,C,0.4082162585094629,0.016604365242996737,0.373591503565726,0.44070634275720394,1.0102029682204603
4,b,3.542526942427676,0.012764322418720962,3.516562921611372,3.566808735424279,1.0070845615309338
