,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.141520574619634,0.2509050008680678,4.660836480017338,5.653931540772314,1.0210344357826653
1,$K_D$,-6.2177835155734735,0.13620712140455837,-6.524939577177405,-6.016516430814548,1.0118220983513053
2,$k_2$,-1.2731061478859322,0.2200518676218373,-1.819073175499014,-1.008076756138049,1.0206443536589571
3,C,0.3189525819405248,0.03939527633909492,0.2344370861543884,0.3897095097349993,1.0075553523769216
4,b,3.4185101998437943,0.004108459676531474,3.410327957299922,3.4264671795743356,1.0090012680823548
