,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.7894352604998955,0.12497939107353069,5.601664170438229,6.098089890588384,1.0160255735834172
1,$K_D$,-7.762821857210196,0.2097575074258366,-8.173047014012901,-7.3546796476575595,1.0104949090778912
2,$k_2$,-3.0026770679126353,0.9623605977178665,-4.597844791815916,-1.135687023280707,1.008049729692868
3,C,0.44806981544368263,0.037913430116389236,0.37174555672849213,0.5021681266797993,1.0133338010534625
4,b,3.7589368310679476,0.04737093326891563,3.6389075404722258,3.833003179119034,1.0069954412011326
