,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.171241689726173,0.4396601300345326,5.3882113839017185,6.9543077454144635,1.0101304114795542
1,$K_D$,-8.23064367985851,0.2432374207867932,-8.747176692773214,-7.798886525444203,1.0111029409512162
2,$k_2$,-3.863307603546354,1.6200445429159673,-6.871488173387756,-1.1369991006824738,1.0030690748829458
3,C,0.2174245399309233,0.08541317538852963,0.02398943408392512,0.3650838890786418,1.0090869948513042
4,b,3.9823383970869384,0.015956590258115015,3.942187774602863,3.999449605470913,1.0160629116816868
