,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,4.9227493216213265,0.6239789145328595,4.060633103391921,6.553543773829336,1.0184863390892929
1,$K_D$,-6.4425700063544955,0.427073235416304,-7.634826052054791,-6.015527178733715,1.0934826573724172
2,$k_2$,-2.036719005420117,1.1649267540925516,-5.9447966661576945,-1.0413596816892685,1.099016761539958
3,C,0.4714521759958214,0.15108116233361546,0.11013159428397251,0.6851883669653285,1.0815713017196567
4,b,3.4068418537627863,0.0026309563241979955,3.4017853707732,3.4120796466753376,1.0083695715956391
