,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.101136466432252,0.46298501844646406,5.203892877687191,6.9306801591229785,1.075915417986242
1,$K_D$,-7.8194490711097755,0.5906420879717499,-8.31853905559474,-6.62257126685753,5.307011227024515
2,$k_2$,-3.0416310788200787,1.605529212911343,-6.91035565140518,-1.0636340274675846,1.2594547593810272
3,C,0.16968080724761064,0.2084718576247472,0.008748835593460557,0.5480096853867934,10.327726644628868
4,b,3.437481953902827,0.017809367887806113,3.412923508305311,3.4743058981381623,2.236648708856139
