,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.869077188411913,0.32043052244187287,5.588358150040852,6.804584123845042,2.152058569523403
1,$K_D$,-7.341283543563884,1.346622734429242,-9.925892409665389,-6.433124972649668,9.562592200672034
2,$k_2$,-2.6495756513351747,2.5286101595993995,-7.707216264063208,-1.0080519748067025,9.576109651647428
3,C,0.45400263622343656,0.13495214092555963,0.20080559345375065,0.547281200443927,13.382772412666611
4,b,3.4861270360985066,0.0229249611959849,3.43491692755461,3.5263999275781805,1.0557868697425976
