,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.885175084700153,0.5753068799086968,5.033413482988041,6.940506566792249,1.230544102104141
1,$K_D$,-7.639371540074622,0.551268444550181,-8.041497043157994,-6.487426174125428,6.219010053068721
2,$k_2$,-4.146814234913451,1.9448999185195894,-7.557931436906312,-1.1490157259587708,1.5968749186831634
3,C,0.14728781178226485,0.1310402317218908,0.05383449031680501,0.3779318907930111,16.30630403654183
4,b,3.685918021508996,0.17797010156952067,3.2597283127925776,3.920678787856729,1.2593571076291354
