,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.872095342639371,0.5707536715259621,4.731604308679989,6.942781628479861,1.0160923660753327
1,$K_D$,-7.742994708993261,0.6060845064329603,-8.175203817615543,-6.577548729949102,9.503267094858067
2,$k_2$,-4.009498751994735,2.260316155022669,-7.72824580930251,-1.027062983016382,1.4906183782094082
3,C,0.15187266212814338,0.19463812319938933,0.024093061481719212,0.4993162783544841,26.229114446427637
4,b,3.435181238288801,0.02270454763920282,3.4046466204048156,3.490934005403201,1.9909217407864293
