,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.190745994604905,0.5051860407755155,5.253497836687941,6.964250156576113,1.0966428882330603
1,$K_D$,-7.41413076905036,0.8571179829406141,-8.314300584765013,-6.223689386876926,6.004536776801905
2,$k_2$,-5.524171867894706,1.9199454183534557,-7.93480577167095,-2.5619255833006167,3.6940958042764827
3,C,0.11986838975375376,0.16449509710437488,-0.053302906439153974,0.30154295047234064,19.93646369485086
4,b,3.214033980823962,0.5758906600797512,2.090074097511616,3.9880711221184284,1.010262170636026
