,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,4.897591880169829,0.619313054387614,4.048728453711054,6.4069083043436805,1.0801668787529501
1,$K_D$,-6.229611235587048,0.35884355123915,-7.438155313698529,-6.003328177486114,1.2253646215987306
2,$k_2$,-2.0887003363767835,1.1262657833637797,-6.001127128217904,-1.0601328940892312,1.181309942083938
3,C,0.04612997218865615,0.17236479835047108,-0.46087947436977117,0.25142396235886816,1.1794669185906086
4,b,3.4061699388264657,0.0030849954405630315,3.4002401369387547,3.41257840363839,1.0103733493181082
