,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.899784300170918,0.4813283409914168,5.395729957016329,6.926060266369184,1.4823861342651588
1,$K_D$,-7.624131134506132,0.7843140681330253,-8.544976279588473,-6.517898345427302,5.3082247485054745
2,$k_2$,-3.717036791528668,2.45364014587977,-7.7678034619537595,-1.0287216833129607,3.0608041371117234
3,C,0.2780659233248867,0.16356244453082558,0.09018590502910886,0.45164085344031074,15.715025417966348
4,b,3.726642110754706,0.37541389466911534,2.52675693798957,3.9965233927119455,1.2780334444960015
