,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.993863496528173,0.5073782201554422,5.069316461303057,6.924943443914884,1.0867254360256988
1,$K_D$,-7.809289829824321,0.7289418475938231,-8.347820978191875,-6.420489718409855,9.936918258060919
2,$k_2$,-4.252937242012611,2.286715302347263,-7.808899076453349,-1.023669773295584,1.6871727665577636
3,C,0.1825522216810227,0.19272861386340678,0.04837507443374121,0.5320865045585502,16.325537706199608
4,b,3.4417692281873644,0.06448023594757196,3.364499217512564,3.584602661808395,2.704252065471239
