,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.1535755294276235,0.49571615220231396,5.263102392348307,6.949555186237231,1.0375634398781872
1,$K_D$,-7.050804025433588,0.7586168450062748,-8.36086928218802,-6.222928131124891,4.170644347012674
2,$k_2$,-4.5387192872215225,1.761908377232798,-7.874511011363255,-2.44966587987176,3.2830516249260726
3,C,0.25463073599650177,0.13764533829148135,0.011178409528832837,0.3518601073702162,15.165918278524256
4,b,3.136752680160703,0.5875818087796919,2.0736723610740606,3.9810950576590547,1.0632931720232095
