,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.9931407394828256,0.4812699069596146,5.174526455871545,6.902966069738517,1.1373999363678906
1,$K_D$,-7.684982189098216,0.5650996338135894,-8.10432226214737,-6.459112073119475,5.57177148509539
2,$k_2$,-3.6393797928929175,1.5926427314668827,-6.9464827000779845,-1.2627334327427855,1.2921561384199007
3,C,0.22485760086146955,0.12274075594367245,0.13463899908053956,0.4534602795812794,11.992406248795579
4,b,3.6245011125848685,0.11550634451955372,3.386491878085734,3.854671850403809,1.2565753480260864
