,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.691508286339201,0.3576181364165931,5.453156103682468,6.7962662013500665,1.4604632873527101
1,$K_D$,-7.126154343792708,0.5837237142118991,-8.208250167118464,-6.509889362839775,4.09298320126597
2,$k_2$,-2.204279464150974,1.6769247576222717,-6.698971200270639,-1.0165908682799585,2.134173234992795
3,C,0.3996419151799322,0.13438300983779672,0.14780866208863494,0.4860585278007418,16.514955413939912
4,b,3.8579682586950104,0.13688241237058768,3.4614657239975717,3.988817720074074,1.322947394896968
