,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,4.770561459246576,0.5051751765410606,4.055999872729795,6.0376043121894165,1.0244657895226708
1,$K_D$,-6.266289063317966,0.25919968283241124,-6.971662658092795,-6.008791037512188,1.0485466815119795
2,$k_2$,-1.6697766925638373,0.6493073140545326,-3.0762136613515034,-1.0268394666673817,1.0436795822270162
3,C,0.5272278547651931,0.10491231421127702,0.2612698140035858,0.6780772311253631,1.0405874944265683
4,b,3.4068641466385983,0.0024337736896547007,3.402190192730547,3.4116400632039436,1.0071371278546657
