,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.972913878942501,0.3380046651532784,5.25694762521508,6.809614414359952,1.025987652690224
1,$K_D$,-6.868935129340019,0.6437249445709701,-8.070986527371192,-6.276941781974186,5.7818259299963275
2,$k_2$,-2.105380604556186,1.9402592395428138,-7.464786162316823,-1.0041828075785517,2.201950286872067
3,C,0.2917144809515162,0.20220658120164173,-0.07897028929457434,0.4332734339878531,13.930340784943821
4,b,3.550792235794693,0.05487259522582943,3.4469685366223763,3.642893807053736,1.72713137226529
