,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.942899517635125,0.5464534217855755,4.8801386862990945,6.939900877077789,1.0197492016989178
1,$K_D$,-7.673044947119357,0.6321715222540932,-8.229376387608449,-6.492208999210235,6.538741345203384
2,$k_2$,-4.0020919900635805,2.2794902263922956,-7.777214453815994,-1.0124158204348663,1.5217369828219827
3,C,0.17555538218940547,0.20666450820079563,0.019448504531144335,0.5450376778263336,12.464438641757997
4,b,3.4474249843581077,0.023668100841168653,3.4073328616165677,3.497891981991618,1.4525675435419045
