,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.966184641412506,0.5543740156660665,4.784720872036773,6.922721694849518,1.0038154812321305
1,$K_D$,-7.759744350561351,0.5872582486945852,-8.335864584741069,-6.585922302242933,4.409104703400065
2,$k_2$,-4.065680111783257,2.305675697685186,-7.803336052542971,-1.0170467623760437,1.521850693671111
3,C,0.21670536352787267,0.20869304692444804,0.051288634605307526,0.593432215376231,10.10161191848014
4,b,3.4581435349911973,0.045192464306002524,3.3883028874454646,3.5628082370737966,1.6570975379780746
