,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.891381732148398,0.5528166202041829,4.99278273222184,6.923858102975195,1.1408066416176461
1,$K_D$,-7.715310115017005,0.7232002026465177,-8.288831252498543,-6.269446957000048,6.8330121231641305
2,$k_2$,-4.428859234655098,2.0323981471110297,-7.794761689751752,-1.2484919734384508,1.684850052017079
3,C,0.27610679849089415,0.15334502199323047,0.1569550560572792,0.550328533904857,10.96542757690662
4,b,3.5072927631890662,0.06642882693688487,3.3719055123610326,3.61963339937196,1.2554344760207332
