,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.03501474434659,0.5175521299419414,5.293848609633046,6.943587426359156,1.1112347191021394
1,$K_D$,-7.100493311107754,0.7494947268740837,-8.37812241494999,-6.229665537208991,3.877535220442105
2,$k_2$,-4.499434304951877,1.7530816560019877,-7.881556061904347,-2.2484578762316465,3.198381182641227
3,C,0.22425084570971157,0.14027835384771933,-0.023496136447157045,0.3222014400745288,17.858542643037048
4,b,3.2772127727571054,0.5639256117226938,2.119748447154385,3.9839508275415594,1.0415285696114158
