,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.468456105117903,0.26797767802565203,5.979526921433364,6.950593855895787,1.004823181544242
1,$K_D$,-7.811414969241718,0.3581293118591914,-8.390810948711803,-7.1269227116582385,1.0136356147739178
2,$k_2$,-1.9659091706025025,0.77368821298259,-3.700861656248691,-1.0291866758553703,1.0211678255412286
3,C,0.7724086851749346,0.07660625237425016,0.6561576635984925,0.9197464527863277,1.0092213448411398
4,b,0.633656565507663,0.2017365653705776,0.31745044663799843,0.9868888417552897,1.005021466708855
