,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,6.197759084639321,0.3697281090044113,5.611450659298938,6.930170506612293,1.0069388472429182
1,$K_D$,-8.613391986744132,0.10163668792914196,-8.812625796075372,-8.404482709995653,1.0093737396597984
2,$k_2$,-3.7617522883318437,0.3980354277103882,-4.512037793176915,-2.9668869653673307,1.003689358085191
3,C,0.8110289979496607,0.017317693316743703,0.7787353768736087,0.8478519446032603,1.0073264794050523
4,b,0.4785185291467099,0.0987140243086242,0.32349707886276813,0.7180534761184527,1.004381061815641
