,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.880370174417094,0.18154565054642047,5.598900351652736,6.2772902004977125,1.02020811462777
1,$K_D$,-9.403136960071514,0.2237964631992934,-9.952439803042225,-9.108666418505415,1.035722995170065
2,$k_2$,-4.797609216786439,0.5006154916137469,-5.763874276369254,-3.8284503828936773,1.0129419016994832
3,C,0.8436671735015452,0.01487738364170257,0.812741331673893,0.8735587767822204,1.0117321390055003
4,b,0.5183211265618749,0.10166009140951235,0.3584543996035645,0.7588329282127512,1.0147578446242136
