,parameter,mean,std,2.5%,97.5%,rhat
0,$k_{on}$,5.518000716059138,0.5510123933316707,5.032526425928086,6.83497086947298,1.5681438869300328
1,$K_D$,-7.775946946577836,0.30300225601565967,-8.130502146338385,-7.241852609665174,2.872104699823291
2,$k_2$,-4.327645651090062,1.2522916024407094,-6.176768608484849,-1.594278707352199,1.9229935559992986
3,C,0.4277368796417585,0.07500348092101934,0.3383791195949722,0.5154249686833042,9.27464166367263
4,b,0.20422058553235772,0.14482781490650648,0.04857377332202713,0.459409416403049,3.2887417043214557
